job_id,job_title,company,location,country,salary,skills,experience,date_posted,source
J0001,Data Analyst,Nova AI,Remote,Global,73913.0,statistics|business analysis|tableau|sql|python|excel,mid,2023-08-11,sample_kaggle_style
J0002,Data Analyst,BluePeak Tech,Shenzhen,CN,80276.0,business analysis|sql|tableau|statistics|python|excel,mid,2023-02-09,sample_kaggle_style
J0003,Data Analyst,Atlas Analytics,New York,US,67835.0,tableau|excel|python|statistics|sql|business analysis,senior,2023-08-20,sample_kaggle_style
J0004,Risk Analyst,Atlas Analytics,London,UK,81402.0,credit risk|statistics|model validation|python|excel|sql,entry,2023-09-04,sample_kaggle_style
J0005,Risk Analyst,Northwind Bank,Singapore,SG,82713.0,excel|model validation|python|credit risk|sql|statistics,mid,2023-05-07,sample_kaggle_style
J0006,Risk Analyst,Helio Retail,New York,US,82371.0,statistics|model validation|credit risk|python|excel|sql,senior,2023-01-12,sample_kaggle_style
J0007,Software Engineer,Nova AI,Singapore,SG,114706.0,python|java|git|cloud|system design|sql,entry,2023-10-03,sample_kaggle_style
J0008,Software Engineer,Nova AI,Shanghai,CN,107079.0,system design|git|python|sql|cloud|java,senior,2023-05-15,sample_kaggle_style
J0009,Software Engineer,BluePeak Tech,London,UK,99173.0,system design|git|cloud|python|java|sql,mid,2023-12-01,sample_kaggle_style
J0010,Machine Learning Engineer,Helio Retail,Shenzhen,CN,113318.0,pytorch|mlops|python|cloud|sql|machine learning,mid,2023-08-11,sample_kaggle_style
J0011,Machine Learning Engineer,Atlas Analytics,Remote,Global,124085.0,python|pytorch|sql|machine learning|cloud|mlops,mid,2023-01-21,sample_kaggle_style
J0012,Machine Learning Engineer,Nova AI,Shanghai,CN,128123.0,python|pytorch|cloud|sql|machine learning|mlops,entry,2023-08-19,sample_kaggle_style
J0013,Data Engineer,Northwind Bank,Shanghai,CN,113834.0,data modeling|cloud|airflow|spark|python|sql,senior,2023-03-23,sample_kaggle_style
J0014,Data Engineer,Helio Retail,London,UK,114006.0,sql|airflow|python|cloud|data modeling|spark,entry,2023-02-03,sample_kaggle_style
J0015,Data Engineer,Nova AI,Remote,Global,107135.0,sql|data modeling|python|spark|airflow|cloud,senior,2023-09-24,sample_kaggle_style
J0016,Quant Analyst,Helio Retail,London,UK,120180.0,machine learning|sql|financial modeling|statistics|python|risk modeling,senior,2023-03-18,sample_kaggle_style
