occupation,soc_code,occupation_family,repetitive_task_score,ai_exposure_score,future_outlook_score,job_decline_reference_score,demand_growth_pct,source_note
Data Analyst,15-2051,Data,45,58,76,24,18,O*NET/BLS-inspired sample
Risk Analyst,13-2099,Finance/Risk,38,48,80,20,15,O*NET/BLS-inspired sample
Software Engineer,15-1252,Technology,28,62,84,16,17,O*NET/BLS-inspired sample
Machine Learning Engineer,15-1252,AI/Technology,22,55,90,10,24,O*NET/BLS-inspired sample
Data Engineer,15-1243,Data Infrastructure,24,50,88,12,23,O*NET/BLS-inspired sample
Quant Analyst,15-2099,Finance/Quant,30,44,82,18,19,O*NET/BLS-inspired sample
Business Analyst,13-1111,Business,52,55,68,32,9,O*NET/BLS-inspired sample
Basic Accountant,13-2011,Accounting,70,66,48,52,2,O*NET/BLS-inspired sample
Data Entry Clerk,43-9021,Administration,86,72,30,70,-7,O*NET/BLS-inspired sample
Manual Tester,15-1253,Quality Assurance,68,64,46,54,1,O*NET/BLS-inspired sample
Financial Analyst,13-2051,Finance,40,46,72,28,10,O*NET/BLS-inspired sample
Cybersecurity Analyst,15-1212,Cybersecurity,26,42,87,13,22,O*NET/BLS-inspired sample
